location,total_sqft,bath,bhk,price
Indira Nagar,1000,2,2,100
Whitefield,1500,3,3,150
Indira Nagar,1200,2,2,120
HSR Layout,1100,2,2,110
Koramangala,1800,3,4,200
Electronic City,900,2,2,85
Banashankari,1300,2,3,130
Malleshwaram,1400,3,3,160
Jayanagar,1000,2,2,105
JP Nagar,1200,2,3,125
Hebbal,1600,3,3,140
Marathahalli,1100,2,2,115
BTM Layout,1000,2,2,95
Sarjapur Road,1400,3,3,135
Yelahanka,1200,2,2,100
Indiranagar,1500,3,3,175
Whitefield,1800,4,4,220
Koramangala,1600,3,3,190
HSR Layout,1300,2,3,145
Electronic City,1000,2,2,90
Banashankari,1500,3,3,140
Malleshwaram,1700,3,4,180
Jayanagar,1200,2,2,125
JP Nagar,1400,3,3,150
Hebbal,1800,3,4,170
Marathahalli,1300,2,3,130
BTM Layout,1200,2,2,110
Sarjapur Road,1600,3,3,145
Yelahanka,1400,2,3,120
Indira Nagar,1100,2,2,115
Whitefield,2000,4,4,250
Koramangala,1400,3,3,165
HSR Layout,1000,2,2,100
Electronic City,1200,2,2,95
Banashankari,1600,3,3,155
Malleshwaram,1300,2,3,140
Jayanagar,1500,3,3,155
JP Nagar,1100,2,2,115
Hebbal,1700,3,4,160
Marathahalli,1200,2,2,125
BTM Layout,1300,2,3,120
Sarjapur Road,1500,3,3,140
Yelahanka,1600,3,3,135
Indiranagar,1200,2,2,145
Whitefield,1700,3,4,195
Koramangala,1900,4,4,230
HSR Layout,1500,3,3,160
Electronic City,1100,2,2,88
Banashankari,1400,3,3,145
Malleshwaram,1600,3,3,170
